,Regressive.1,Regressive.2,Regressive.3,Regressive.4,Regressive.5,Regressive.6,Regressive.7,Regressive.8,Regressive.9,Regressive.10,Regressive.11,Regressive.12,Regressive.13,Regressive.14,Regressive.15,Regressive.16,Progressive.2,Progressive.3,Progressive.4,Progressive.5,Progressive.6,Progressive.7,Progressive.8,Progressive.9,Progressive.10,Progressive.11,Progressive.12,Progressive.13,Progressive.14,Progressive.15,Progressive.16,Progressive.17,Progressive.20,Sample_51.Affy,Sample_52.Affy,Sample_57.Affy,Sample_58.Affy,Sample_59.Affy,Sample_62.Affy,Sample_63.Affy,Sample_64.Affy,Sample_34.Affy,Sample_35.Affy,Sample_36.Affy,Sample_37.Affy,Sample_38.Affy,Sample_39.Affy,Sample_40.Affy,Sample_41.Affy,Sample_42.Affy,Sample_46.Affy
SPNS2,7.937416,8.150866,8.277665,9.295856,8.866392,8.283889,8.210331,9.276499,9.263391,8.217561,8.766798,8.627843,8.458201,7.988242,8.105433,8.137243,7.128284,6.685046,6.176857,6.92261,8.209367,7.793544,6.70086,6.229534,6.713508,7.965555,6.23361,6.841524,7.006407,7.115341,7.093742,7.419647,6.918246,8.704278354,8.837563449,8.04800464,8.284114773,7.872796119,8.448235514,8.013693458,8.575910377,6.989965999,6.812881324,7.126783167,7.299303848,6.896083585,7.738337224,7.159491346,7.820506077,6.767530901,7.793595765
RBAK,6.073147,5.885627,5.916145,6.026193,5.974143,5.691269,6.512918,5.992392,5.943059,5.842975,6.037767,6.042335,5.609496,6.037405,6.439465,5.499404,6.921529,7.218994,7.505228,7.908376,6.179427,6.668721,7.528229,7.657112,7.354329,6.623432,6.556951,6.584186,6.97594,6.411064,6.240265,6.893418,6.449311,5.628626648,5.893647299,5.518904239,6.512524352,5.958538313,6.093382756,5.786599106,6.190008187,7.301681127,7.317807317,7.025446789,6.914332031,6.879495403,6.514617018,6.865513975,6.358903811,7.032855572,6.582732577
ADCYAP1,6.21664,5.688976,6.126428,6.014605,6.623951,6.226332,5.554318,5.958459,5.90907,5.826181,6.942241,6.526754,6.455278,6.027703,5.486037,6.872797,4.668109,4.909898,5.366795,4.767032,4.766933,5.061834,4.731524,5.094409,5.066516,4.766686,4.71231,5.332331,5.121512,5.470374,5.652762,5.230723,5.344654,6.37597219,6.042156238,6.858033086,5.529244761,5.898915211,5.325808868,5.86299043,5.975166193,4.916207603,4.845145997,6.066911607,4.962959749,5.269774457,5.129525414,5.265039977,5.780145264,5.174230073,5.431392881
PAK2,7.429954,7.993614,7.768493,7.584193,7.672053,7.578959,7.804651,7.691193,7.715571,7.351296,7.635359,7.615319,7.275205,7.296078,7.117104,7.528016,8.060462,8.232653,8.265436,8.564969,7.535853,7.860542,8.247177,8.349606,8.262856,8.043902,7.917911,7.964334,8.504672,8.093543,8.079615,8.138952,7.996439,7.614908004,7.278462834,7.609619436,7.588522748,7.467135219,7.665692154,7.682784512,7.623711845,8.258901802,8.378755893,8.38097304,8.261660912,8.138223043,7.722541114,8.186502006,7.843167765,7.835956854,7.819205798
ZNF721,7.20555,7.534645,7.315188,7.220875,7.120102,7.242751,7.018546,7.259923,7.072067,7.08379,6.945601,7.056625,7.390189,7.107813,7.374868,7.170243,8.195187,7.880929,7.824285,7.677773,7.656037,7.666117,7.855989,7.809542,7.924928,8.162024,7.820734,7.633598,7.021964,7.94406,7.907682,7.876564,7.913121,7.136164204,7.220078211,7.386358134,7.288749607,7.091923825,7.359327328,7.075270184,7.222420665,8.133667512,8.307060151,7.672004119,7.221235505,7.879217271,7.623616576,8.076891178,7.647189395,7.798657366,7.10623373
ELK4,7.307626,7.219809,7.245931,7.009269,7.061348,7.035293,7.400625,7.041586,7.053087,7.242606,7.068255,6.915783,7.103418,6.940687,7.234479,6.803602,7.499149,7.558567,7.386606,7.527208,7.399088,7.557781,7.564712,7.416962,7.640084,7.145355,7.350867,7.517093,7.515121,7.520062,7.568277,7.18465,7.444576,7.036269059,6.928695482,7.20739939,7.08693729,7.131411766,6.972593234,6.974376798,7.272212407,7.576387767,7.641339569,7.490959351,7.579403501,7.564480643,7.248479427,7.544786522,7.181844343,7.541394115,7.230902928
AEBP2,5.388207,5.36348,5.14407,5.117852,5.043537,5.327399,5.275624,5.061691,5.091861,5.271119,5.038686,5.045662,4.930587,5.082901,5.165415,5.158512,5.557812,5.320355,5.748384,5.73448,5.262258,5.373199,5.342074,5.803225,5.545403,5.337661,5.76619,5.437791,5.910401,5.750065,5.683538,5.261418,5.702054,5.052906565,5.090756812,4.986166128,5.143096714,5.257622397,5.214931918,4.849008282,5.306428267,5.669671066,5.652010115,5.515644337,5.708847167,5.768870977,5.570554355,5.702776827,5.366178858,5.565137071,5.168615425
IRF7,7.897856,7.910522,7.89441,8.222119,8.140913,7.877099,7.734387,8.196308,8.16095,7.27315,8.084496,8.120847,8.061015,7.768011,7.847971,7.769637,7.17011,6.71109,7.310929,6.773086,7.427991,7.577498,6.79408,7.217982,6.662654,8.115245,6.80139,7.244157,6.524348,7.551018,7.563217,6.858542,7.584758,8.219846454,7.962949515,7.678658803,7.971128662,7.736318737,7.671475664,8.308270587,7.83835016,7.090369906,7.073911379,7.275287125,7.263871525,7.152191404,7.58190045,7.510926352,7.501240475,6.990647083,6.944836852
SEC62,5.884505,5.24517,5.528479,5.24896,5.672527,5.241622,5.287801,5.077014,5.266307,5.300426,5.414414,5.48956,5.265245,5.298136,5.30195,5.051679,5.792341,5.842828,5.807123,5.887096,5.614087,5.729701,6.128682,5.918091,6.082963,5.340239,5.997457,5.72242,5.932729,5.706818,5.636309,5.826934,5.655824,5.261965506,5.172799491,5.334871754,5.39998051,5.512821397,5.306007453,5.349580846,5.249038175,5.930372864,5.939008813,5.884775003,6.066167658,5.891170673,5.80613331,5.574051612,5.454255549,6.063054028,5.29505311
NNT,6.563337,6.263395,6.010602,6.049178,6.333525,6.052333,5.999744,6.171053,5.913336,6.329955,6.339234,6.203383,5.982307,6.295866,6.24298,5.670068,5.989109,6.996615,6.920157,6.682001,6.984608,6.757658,7.047786,6.908405,7.011972,6.284115,7.061248,6.491448,6.584547,6.309403,6.5138,6.411951,6.426816,5.893050886,5.898512302,6.178623426,6.047066225,6.351161305,6.045062524,5.941685253,6.046203999,6.862412912,7.030472962,6.749010338,6.956081406,6.878957501,6.567187521,6.739808832,6.37275973,6.790690411,6.2878696
